mg9501.mp3,"Manao ahoana! / Salama! / Akory! / Miarahaba! "
mg9502.mp3,"Manao ahoana! "
mg9503.mp3,"Manao ahoana! "
mg9504.mp3,"Manao ahoana! "
mg9505.mp3,"Tafandria mandry! "
mg9506.mp3,"Veloma! "
mg9507.mp3,"Veloma tompoko! "
mg9508.mp3,"eny "
mg9509.mp3,"tsia "
mg9510.mp3,"angamba "
mg9511.mp3,"Okay "
mg9512.mp3,"Misaotra! "
mg9513.mp3,"Tsisy fisaorana! "
mg9514.mp3,"Manao azafady,... "
mg9515.mp3,"Miala tsiny. "
mg9516.mp3,"(Tsy) manana ... aho. / (Tsy) manana ..."
mg9517.mp3,"(Tsy) manana ... izahay. "
mg9518.mp3,"(Tsy) misy ... "
mg9519.mp3,"no anarako. "
mg9520.mp3,"Avy any ... aho. / Avy any ... za."
mg9524.mp3,"... taona aho. / ... taona za. "
mg9525.mp3,"Manambady aho. (Tsy) manambady aho. "
mg9526.mp3,"Mivoaiazy irery aho /Mivoaiazy irery za. (Tsy mivoaiazy ...)"
mg9527.mp3,"Mivoiazy miaraka amin'i ... aho. / Mivoiazy miaraka"
mg9762.mp3,"Tsy miteny gasy aho. / Tsy miteny"
mg9763.mp3,"Tsy azoko izany. "
mg9764.mp3,"Miteny ... ve ianao? "
mg9765.mp3,"Misy miteny ... ve ianareo? "
mg9767.mp3,"Englisy "
mg9768.mp3,"Frantsay "
mg9769.mp3,"Mba soraty amin'ny teny ..."
mg9770.mp3,"Mba avereno kely azafady. "
mg9771.mp3,"Miandrasa vetivety azafady "
mg9845.mp3,"aotra "
mg9846.mp3,"iray "
mg9847.mp3,"roa "
mg9848.mp3,"telo "
mg9849.mp3,"efatra "
mg9850.mp3,"dimy "
mg9851.mp3,"enina"
mg9852.mp3,"fito "
mg9853.mp3,"valo "
mg9854.mp3,"sivy "
mg9855.mp3,"folo "
mg9856.mp3,"iraika ambin'ny folo "
mg9857.mp3,"roa ambin'ny folo "
mg9858.mp3,"telo ambin'ny folo "
mg9859.mp3,"efatra ambin'ny folo "
mg9860.mp3,"dimy ambin'ny folo "
mg9861.mp3,"enina ambin'ny folo "
mg9862.mp3,"fito ambin'ny folo "
mg9863.mp3,"valo ambin'ny folo "
mg9864.mp3,"sivy ambin'ny folo "
mg9865.mp3,"roapolo "
mg9866.mp3,"iraika amby roapolo "
mg9867.mp3,"telopolo "
mg9868.mp3,"efapolo "
mg9869.mp3,"dimampolo "
mg9870.mp3,"enimpolo "
mg9871.mp3,"fitopolo "
mg9872.mp3,"valopolo "
mg9873.mp3,"sivifolo "
mg9874.mp3,"zato "
mg9875.mp3,"arivo "
mg9876.mp3,"iray tapitrisa "
mg9877.mp3,"vitsivitsy "
